SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
29027009,7.6,4.25,3.75,9.25,5.75,,,,6.8,6.25,,20.6,22.6,,18.65,18.15
29027014,5,8.75,,,,6.75,8.75,9.25,4.6,,8.25,,,24.25,18.35,
29027018,6.8,6.75,4.5,8.25,7,,,,4,6.58,,19.55,22.05,,17.55,15.3
29027036,7,5.75,7,4.5,4,,,,3,5.17,,18.5,15.5,,15.75,17
29027042,6.8,2.75,6.5,6,3.5,,,,4,5.33,,19.3,16.3,,13.55,17.3
29027068,6,5,6.5,3.25,3,,,,5.6,4.25,,15.75,12.25,,16.6,18.1
29027082,8,5,6.5,7.5,3.5,,,,2.2,5.83,,22,19,,15.2,16.7
29027104,6.6,4.75,7.75,7,3,,,,3.6,5.92,,21.35,16.6,,14.95,17.95
29026984,6.6,5.25,7,8.25,3.75,,,,3.6,6.33,,21.85,18.6,,15.45,17.2
29026990,6.8,5.75,7.5,7,5,,,,4.8,6.5,,21.3,18.8,,17.35,19.1
29027004,8.4,7.5,3.5,7.25,7.75,,,,5.2,6.17,,19.15,23.4,,21.1,17.1
29026977,8.2,7,7,8,3.5,,,,6.4,6.17,,23.2,19.7,,21.6,21.6
29029688,7.6,5.25,2.5,8.5,8.25,,,,3.6,6.42,,18.6,24.35,,16.45,13.7
29029690,4.6,4,3.75,2.5,4.5,,,,3.6,3.58,,10.85,11.6,,12.2,11.95
29029692,4.8,7.25,2.25,2.75,3.25,,,,3.6,2.75,,9.8,10.8,,15.65,10.65
29029696,6.4,6.25,3.5,7.25,8,,,,5,6.25,,17.15,21.65,,17.65,14.9
29029709,5.2,4.25,5.75,7,4.75,,,,2.2,5.83,,17.95,16.95,,11.65,13.15
29029711,8.8,5.58,8.25,8.5,5.5,,,,6.8,7.42,,25.55,22.8,,21.18,23.85
29029712,6.4,5.5,6.25,5.75,4,,,,3.4,5.33,,18.4,16.15,,15.3,16.05
